id,title,price,currency,square footage,rooms,floor,district
66995739,Piasta Park V​I | mieszkanie 2-pok. | G1-73,641034.0,PLN,39.57,TWO,SECOND,Mistrzejowice
66995741,Łepkowskiego 11 | mieszkanie 3-pok. | M09,947200.0,PLN,63.43,THREE,FIRST,Prądnik Czerwony
67038084,2-pokojowe mieszkanie 47m2 + balkon Bez Prowizji,606425.0,PLN,47.75,TWO,FIRST,Podgórze
67034267,3-pokojowe mieszkanie 64m2 + ogródek Bezpośrednio,724528.0,PLN,64.69,THREE,GROUND,Podgórze
66404926,2-pokojowe mieszkanie 68m2 + taras Bez Pośredników,943112.0,PLN,68.59,TWO,SECOND,Dębniki
66034259,2-pokojowe mieszkanie 57m2 Bez Pośredników,718625.0,PLN,57.49,TWO,FIRST,Prądnik Biały
66317119,City Łobzów,,,,,,Bronowice
67767087,"Wielkanocna  Promocja! 38m2, w tym 3 pokoje!",478000.0,PLN,38.0,THREE,FIRST,Wzgórza Krzesławickie
67858411,"Unikatowy, dwupoziomowy apartament 140 m² | + 7 balkonów | + Garaż",1790000.0,PLN,140.0,SIX,SECOND,Prądnik Biały
67858681,Mieszkanie 1-pok. na drugim piętrze w ogrodzonym bloku,465000.0,PLN,28.11,ONE,SECOND,Podgórze Duchackie
67343698,Os. Avia | 3 pokoje | 2 balkony | Duży potencjał,929000.0,PLN,61.4,THREE,THIRD,Czyżyny
67594512,2 pokoje z balkonem i widokiem na zieleń |Grota-Ro,689000.0,PLN,52.73,TWO,THIRD,Dębniki
67807630,Nowoczesne mieszkanie na 7 piętrze z dwoma balkonami – Zabłocie,1150000.0,PLN,41.7,TWO,SEVENTH,Podgórze
67836117,"Mieszkanie 2-pokojowe gotowe do wejścia, blisko centrum!",799000.0,PLN,56.18,TWO,SEVENTH,Podgórze Duchackie
67768753,3-pokojowe słoneczne mieszkanie w centrum Krakowa- Czarnowiejska,899000.0,PLN,60.0,THREE,THIRD,Krowodrza
67858561,Gotowe do zamieszkania 2-pokojowe |44 m²| Ruczaj,780000.0,PLN,44.0,TWO,FIRST,Dębniki
67624357,Osiedle Ozon etap 8,,,,,,Prądnik Biały
67508562,4-pokojowe mieszkanie 63m2 Bez Pośredników,1173933.0,PLN,63.03,FOUR,GROUND,Podgórze
67858545,Wola Duchacka  KURDWANÓW P+R  - 450 m // ul. Przykopy ⭐44m2 + balkon,700000.0,PLN,45.2,TWO,FOURTH,Podgórze Duchackie
67858518,4 pokoje z 2 ogródkami | taras | 0% prowizji,1108233.0,PLN,75.39,FOUR,GROUND,Prądnik Biały
67858517,l Kawalerka l 2 pokoje | Balkon | Garaż | Ruczaj l,539000.0,PLN,34.0,ONE,GROUND,Dębniki
67748824,Dwupokojowe mieszkanie w stanie do wejścia,549000.0,PLN,36.1,TWO,SECOND,Prądnik Czerwony
67767426,Garsoniera idealna pod inwestycję!,372000.0,PLN,20.0,ONE,FIFTH,Prądnik Czerwony
67812594,Kraków- Olsza- ul. Kantora,435000.0,PLN,31.33,ONE,SECOND,Prądnik Czerwony
67811509,"Mieszkanie 2 pokoje 42 m2  Kraków, Łobzów, ul Mazowiecka 117",599000.0,PLN,42.0,TWO,GROUND,Krowodrza
96785887400067,Zabłocie - Centrum Nowoczesnego Krakowa,995000.0,PLN,63.0,THREE,THIRD,Podgórze
67858502,"Mieszkanie 2pokojowe z ładnym widokiem i piwnicą - os. Piastów,",699000.0,PLN,44.0,TWO,EIGHTH,Mistrzejowice
